UMAP1_PC50,UMAP2_PC50,UMAP1_PC75,UMAP2_PC75,UMAP1_PC100,UMAP2_PC100,UMAP1_PC125,UMAP2_PC125,UMAP1_PC150,UMAP2_PC150,UMAP1_PC175,UMAP2_PC175
-2.474198,-4.011928,10.1196575,15.493641,11.758094,16.406162,18.538622,13.081284,-2.965484,-4.9646435,-5.1825404,-5.2090673
-2.82391,0.0057290997,11.4927025,11.803462,12.451448,12.725569,17.793049,9.717361,-4.0502596,-1.6173791,-6.9531407,-2.301109
-3.2365272,-3.8909016,11.067558,16.081255,12.471348,16.855543,19.526241,13.104513,-3.681982,-5.220295,-6.148879,-5.5821705
-2.100322,-3.5757446,9.943337,15.1688,11.609582,15.986098,18.35007,12.800183,-2.6219835,-4.5613856,-5.0816374,-4.937597
-2.3710651,-6.3774586,9.620609,17.812435,11.13096,18.751968,19.013138,15.446866,-3.273537,-7.3471136,-5.2295594,-7.521672
-2.7752235,-2.4137294,10.732184,14.231472,12.562723,15.0321455,18.740452,11.560599,-3.7722628,-3.6271553,-6.137903,-4.062759
0.6215727,-2.056839,7.666874,13.093784,9.101624,14.407861,15.391922,12.348984,-0.5952592,-2.5359497,-3.5104563,-2.3081086
-4.0608206,-2.7341874,12.057946,14.99513,13.491057,15.683068,19.703514,11.515758,-4.831108,-4.13339,-7.047751,-4.760796
-4.6103573,-1.7135514,12.748573,13.498642,13.908446,14.3877,19.810877,10.282733,-5.3416977,-3.1234791,-7.759297,-4.0738945
-2.1604915,-3.29683,9.838062,15.084956,11.419291,15.756265,17.670456,13.238244,-2.1801853,-4.2274256,-4.6963096,-4.5570273
-3.9667256,-1.478075,12.139257,13.552167,13.408238,14.248803,19.194733,10.434809,-4.8170824,-2.9225962,-7.464133,-3.5124545
-3.8867543,-3.2442172,11.799993,15.502062,13.016418,16.326578,19.878868,12.246244,-4.72272,-4.539362,-6.9960213,-5.2820625
-1.4087117,-3.41719,9.251582,14.751496,10.456666,15.840077,17.373177,12.852804,-1.9525765,-4.087352,-4.2789655,-4.1410413
2.2655034,-3.8742301,5.8813667,14.230108,7.3086677,15.743018,14.204731,14.040242,1.0087079,-3.1302075,-1.6813576,-2.684437
-1.6786588,-3.9936776,9.353169,15.567445,11.052745,16.419804,18.104181,13.457406,-2.1422791,-4.7858586,-4.57772,-5.100147
-0.87466854,-3.4861758,8.983266,15.139204,10.390621,16.008863,17.784008,13.651238,-2.062103,-4.9181876,-4.0672426,-4.9923835
-2.99667,-3.7263997,10.576781,15.736082,12.331646,16.307154,18.603119,12.96684,-3.4194577,-4.8749413,-5.59128,-5.240323
-4.1175365,-4.1834583,11.55952,16.301386,13.195893,17.017368,20.127,13.021845,-4.8922668,-5.4183745,-7.3489485,-6.103952
-6.55014,-1.3255633,14.542495,14.041673,15.9416275,13.813518,21.217695,9.557036,-7.066254,-3.0369651,-9.679418,-3.6441195
-4.100563,-3.4064517,11.806236,15.601424,13.406666,16.298807,20.364872,12.430121,-4.4871154,-4.750308,-7.1987114,-5.4383535
-2.5077245,-4.3217783,10.009787,16.037556,11.634099,16.85277,18.813396,13.580373,-2.9016824,-5.3857927,-5.08192,-5.6556726
-4.9079876,-0.8700202,12.969716,13.096428,14.167107,13.544798,19.65606,9.582864,-5.522656,-2.2846525,-8.295876,-3.1840734
1.5798025,-2.251063,6.6905107,13.204227,8.016463,14.500415,14.440406,12.7292595,0.22004281,-2.0453653,-2.6808262,-2.0848353
